S. No.,English,German
1,milk,Milch
2,coffe,Kaffee
3,coffee and milk,Kaffee und Milch
4,hello,Hallo
5,Hello! Coffee Please,"Hallo! Kaffee, bitte!"
6,"Coffee and milk, please",Kaffee und Milch bitte
7,"Milk and Coffee, please",Milch und Kaffee bitte
8,Water,Wasser
9,bread,Brot
10,"bread and coffee, please","Brot und Kaffee, bitte!"
11,wine,Wine
12,tea,tee
13,"water and tea please","Wasser und tee, bitte!"
14,"Thank You",Danke!
15,"tea and wine, please","Tee und Wein, bitte!"
16,"water, please! thank you","Wasser, bitte! Danke"
17,beer,Bier
18,"beer or water?","Bier oder Wasser?"
19,no,Nien
20,bye,Tschüss!
21,yes,Ja
22,hello and bye,Hallo und tschüss
23,beer or water,Bier oder Wasser
24,"Hello! Coffee, please","Hallo! Kaffe bitte"
25,"a mother and a father","eine Mutter und ein Vater"
26,"my brother and my sister","mein Bruder und meine Schwester"
27,"I am Karl.","Ich bin Karl"
28,"You are very tall.","Du bist sehr groß."
29,"My sister is smart.","Meine Schwester ist klug."
30,the mother,die Mutter
31,the father,der Vater
32,a father, ein Vater
33,a mother,eine Mutter
34,I am Karl,Ich bin Karl
35,"Ja, ich bin Lukas","Yes, I am Lukas"
36,"a mother, a father","eine Mutter, ein Vater"
37,"Hello,I am Karl","Hallo, Ich bin Karl"
38,"ein Vater und eine Mutter","a father and a mother"
39,"my brother, my father","mein Bruder, mein Vater"
40,my brother and my husband,mein Bruder und mein Mann
41,my husband and my mother,mein Mann und meine Mutter
42,"my father,my sister","mein Vater, meine Schwester"
43,"my sister and my husband","meine Schwester und mein Mann"
44,"my brother, my mother","mein Bruder, meine Mutter"
45,"my mother and my sister","mein Bruder, meine Mutter"
46,"my sister and my husband","miene Schwester und mein Mann"
47,"my brother","mein Bruder"
48,miene Tochter,my daughter
49,"my wife, my daughter","miene Frau, miene Tochter"
50,"my wife, my son","meine Frau, mien Sohn"
51,Du bust mine Frau, You are my wife
52,You are my brother,Du list mein Bruder
53,"Yes, you are my son.","Ja, du bist mein Sohn"
54,"Yes, Mother, you are nice","Ja, Mutter, di bist nett"
55,"I am very nice","Ich bin sear nett"
56,You are very tall,"Du bist sehr groß!"
57,"My Father is tall and nice","Mein Vater ist groß und nett"
58,"I am very smart","Ich bin sehr klug"
59,"My husband is smart","Mein Mann ist klug"
60,"My mother is nice and tall","Meine Mutter ist nett and grosß"
61,"My daughter is very smart","Meine Tochtar is sehr klug"
62,"I am very smart","Ich bin sehr klug"
63,"the woman, the man","die Frau, der Mann"
64,"the dog and the cat","der Hund und die Katze"
65,the man,"der Mann"
66,the woman,"die Frau"
67,the man is smart,Der Mann ist klug
68,the boy,der Junge
69,the woman is nice,Dir Frau ist nett
70,the boy is nice,der Junge ist nett
71,the cat,die Katze
72,the elephant,der Elefant
73,I am a cat,Ich bin eine Katze
74,the dog,der Hund
75,the dog is beautiful,der Hund ist schön
76,My cat is beautiful,Meine Katze ist schön
77,The boy is young,Der Junge ist jung
78,The elephant is very beautiful, Der elephant ist sehr schön
79,"ein Elefant, ein Hund, eine Katze","an elephant, a dog, a cat"
80,My son is young,Mein sohn ist jung
81,The dog is young,Der Hund ist jung
82,the bear,der Bär
83,the mouse,die Maus
84,"the dog, the owl","der Hund, die Eule"
85,"Oh, the bear is beautiful","Oh, der Bär ist schön"
86,"Where is the mouse?","Wo ist die Maus?"
87,"the owl, the bear","die Eule, der Bär"
88,"Where is my daughter","Wo ist meine Tochter"
89,"Oh, my daughter is smart","Oh, meine Tochter ist klug"
90,"Oh, the bear is beautiful","Oh, der Bär ist schön"
